NUTS3;CODE
'DED2D';'02828'
'DE132';'79379'
'DEB14';'55568'
'DE132';'79423'
'DEA5C';'59439'
'DEA37';'49479'
'DEB3K';'66996'
'DE12C';'77776'
'DE94F';'49429'
'DE714';'65189'
'DE134';'72250'
'DEB3E';'76756'
'DE124';'76593'
'DE123';'76316'
'DE723';'35789'
'DE80L';'18439'
'DE300';'14089'
'DE80N';'17129'
'DE80L';'18528'
'DE300';'12165'
'DE300';'10789'
'DE300';'13349'
'DE300';'10825'
'DED2E';'01609'
'DE300';'10781'
'DE405';'16348'
'DE300';'13127'
'DE80N';'17495'
'DE225';'94142'
'DE26C';'97280'
'DE148';'88368'
'DE26C';'97259'
'DE929';'30159'
'DE146';'88436'
'DE737';'37290'
'DE26C';'97232'
'DE27A';'88179'
'DEA45';'32816'
'DE149';'72419'
'DE142';'72138'
'DE111';'70178'
'DE113';'72657'
'DE138';'78464'
'DEF05';'25782'
'DE141';'72760'
'DE715';'68647'
'DE724';'35236'
'DEF05';'25799'
'DE11B';'97877'
'DE113';'73265'
'DEF06';'21493'
'DE94E';'49637'
'DEB1B';'56428'
'DE947';'26632'
'DE949';'49811'
'DEB1C';'56254'
'DEB3G';'66904'
'DEA53';'58135'
'DEB3G';'67746'
'DE94H';'26487'
'DEB3G';'67749'
'DE942';'26721'
'DEC03';'66539'
'DEA36';'45663'
'DE26B';'97526'
'DEA5B';'59556'
'DE723';'35792'
'DEE05';'06796'
'DED44';'08239'
'DE227';'84103'
'DE80L';'18347'
'DE22B';'94333'
'DE21M';'83259'
'DE80K';'18195'
'DE227';'84175'
'DE21K';'83257'
'DE22C';'84180'
'DED45';'08144'
'DE21G';'84546'
'DE22A';'84140'
'DED45';'09212'
'DEE0E';'06895'
'DE214';'84561'
'DED42';'09221'
'DED43';'09326'
'DED53';'04779'
'DED42';'09423'
'DED41';'09126'
'DE229';'94256'
'DE80L';'18437'
'DED42';'09496'
'DE40A';'16767'
'DED2E';'01616'
'DE300';'10711'
'DE300';'13409'
'DED2E';'01561'
'DED2E';'01662'
'DE218';'85661'
'DE21A';'85461'
'DE23A';'95700'
'DEE02';'06132'
'DE237';'92729'
'DEE02';'06130'
'DE80J';'17219'
'DE80J';'17111'
'DED43';'09244'
'DED41';'09113'
'DE215';'83395'
'DE300';'13583'
'DE80J';'17094'
'DE40A';'16792'
'DED2E';'01619'
'DE300';'12161'
'DE300';'13355'
'DE226';'93077'
'DED44';'08606'
'DEE0B';'06188'
'DE803';'18119'
'DEE05';'06780'
'DE218';'83550'
'DE213';'83026'
'DE227';'84184'
'DED44';'07985'
'DE23A';'95703'
'DE300';'13089'
'DEE07';'39167'
'DE21H';'85716'
'DE212';'80809'
'DE212';'80336'
'DE212';'80333'
'DE212';'80937'
'DEE03';'39118'
'DE21F';'83708'
'DE212';'81737'
'DE212';'81735'
'DE249';'95192'
'DEG0J';'07616'
'DE246';'95469'
'DE237';'92676'
'DE226';'84094'
'DE143';'72414'
'DE112';'71154'
'DEE05';'06809'
'DE21K';'83128'
'DE21K';'83112'
'DE40E';'14827'
'DE227';'84137'
'DE21K';'83209'
'DE237';'92697'
'DE23A';'95695'
'DEA56';'45525'
'DEB15';'55743'
'DEA2C';'53773'
'DE94C';'26835'
'DEB3G';'67756'
'DEB3G';'67745'
'DE132';'79868'
'DEB3C';'67316'
'DEB3B';'55237'
'DE133';'79263'
'DE132';'79874'
'DEA38';'59302'
'DEA19';'42653'
'DEB1C';'56823'
'DEB12';'53474'
'DE11D';'73431'
'DE931';'29336'
'DE933';'21435'
'DE600';'22179'
'DE600';'22397'
'DE25A';'97258'
'DE26B';'97490'
'DE11C';'89542'
'DE265';'97714'
'DE265';'97702'
'DE256';'91631'
'DE11A';'74594'
'DE27E';'87474'
'DE27E';'87509'
'DE91A';'31228'
'DE256';'91610'
'DE256';'91620'
'DE268';'97355'
'DE27C';'87749'
'DEF0F';'22962'
'DE935';'21409'
'DE935';'21406'
'DEF0D';'23821'
'DEF0D';'23815'
'DEG07';'99755'
'DE139';'79592'
'DEA58';'58644'
'DEB14';'55571'
'DEA1E';'41334'
'DEB23';'54616'
'DEB23';'54675'
'DEA1F';'47665'
'DEB25';'54332'
'DEA28';'53894'
'DEA1F';'47441'
'DEC04';'66798'
'DEB21';'54293'
'DE721';'35444'
'DE12B';'75217'
'DE12A';'75394'
'DEA57';'59964'
'DE712';'60327'
'DE501';'28759'
'DE129';'75177'
'DE932';'27472'
'DEF07';'25899'
'DE125';'69117'
'DE125';'69118'
'DE112';'71131'
'DE142';'72181'
'DE143';'72336'
'DE12B';'75417'
'DEB1C';'56759'
'DEB35';'55124'
'DEB3C';'67471'
'DEA5B';'59457'
'DE94E';'49593'
'DEB3C';'67319'
'DEB3D';'67304'
'DE723';'65604'
'DEB3C';'67466'
'DE134';'77716'
'DE218';'85567'
'DE24D';'95615'
'DE21K';'83539'
'DE21K';'83533'
'DE23A';'92717'
'DE80O';'19395'
'DEE01';'06861'
'DE21K';'83512'
'DE21K';'83137'
'DE238';'93177'
'DE80K';'17166'
'DED51';'04328'
'DED52';'04552'
'DE93A';'29576'
'DE256';'91726'
'DE248';'91099'
'DE21C';'82293'
'DEE0A';'06526'
'DE248';'91077'
'DE25B';'90530'
'DE21I';'86633'
'DE246';'91347'
'DE21N';'82395'
'DE275';'86576'
'DE219';'85114'
'DE21N';'82387'
'DE21L';'82349'
'DE236';'92360'
'DE804';'19059'
'DE219';'85120'
'DE80O';'19086'
'DE236';'92358'
'DE21J';'85088'
'DEE03';'39122'
'DE21B';'85395'
'DE21H';'85635'
'DE218';'85622'
'DEE06';'39288'
'DEG0K';'07922'
'DE226';'84106'
'DE218';'85570'
'DE715';'68649'
'DE21M';'83346'
'DE21M';'83371'
'DE22A';'84339'
'DED43';'09328'
'DE215';'83458'
'DE21M';'83334'
'DE22B';'94362'
'DEA14';'47839'
'DEA1D';'41352'
'DE944';'49076'
'DEA5A';'57072'
'DE134';'77654'
'DEB3D';'67305'
